title,author,length
1. Plays Well with Others,By: Eric Barker,Length: 6 hrs and 55 mins
2. Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
3. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
4. Lessons in Chemistry,By: Bonnie Garmus,Length: 11 hrs and 55 mins
5. Spare,By: Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
6. I Will Find You,By: Harlan Coben,Length: 10 hrs and 16 mins
7. Greenlights,By: Matthew McConaughey,Length: 6 hrs and 42 mins
8. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
9. Hello Beautiful,By: Ann Napolitano,Length: 15 hrs and 6 mins
10. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
11. Daisy Jones & The Six,By: Taylor Jenkins Reid,Length: 9 hrs and 3 mins
12. I'm Glad My Mom Died,By: Jennette McCurdy,Length: 6 hrs and 26 mins
13. Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
14. Demon Copperhead,By: Barbara Kingsolver,Length: 21 hrs and 3 mins
15. It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
"16. Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
17. The Seven Husbands of Evelyn Hugo,By: Taylor Jenkins Reid,Length: 12 hrs and 10 mins
18. Never Finished,By: David Goggins,Length: 11 hrs and 6 mins
19. Verity,By: Colleen Hoover,Length: 8 hrs and 10 mins
20. A Court of Thorns and Roses,By: Sarah J. Maas,Length: 16 hrs and 7 mins
21. 12 Rules for Life,"By: Jordan B. Peterson, Norman Doidge MD",Length: 15 hrs and 40 mins
22. The Wisdom of the Bullfrog,By: Admiral William H. McRaven,Length: 3 hrs and 44 mins
23. Fairy Tale,By: Stephen King,Length: 24 hrs and 6 mins
24. The Last Thing He Told Me,By: Laura Dave,Length: 8 hrs and 49 mins
25. The Captain,By: Will Wight,Length: 11 hrs and 24 mins
"26. Harry Potter and the Chamber of Secrets, Book 2",By: J.K. Rowling,Length: 9 hrs and 2 mins
27. The Housemaid,By: Freida McFadden,Length: 9 hrs and 46 mins
28. Mad Honey,"By: Jodi Picoult, Jennifer Finney Boylan",Length: 15 hrs and 12 mins
29. It Starts with Us,By: Colleen Hoover,Length: 8 hrs and 41 mins
"30. Tomorrow, and Tomorrow, and Tomorrow",By: Gabrielle Zevin,Length: 13 hrs and 52 mins
31. The High Notes,By: Danielle Steel,Length: 6 hrs and 40 mins
32. The Return of the Gods,By: Jonathan Cahn,Length: 8 hrs and 34 mins
