title,author,length
From the Grave,Kresley Cole,Length: 11 hrs and 54 mins
Light Bringer,Pierce Brown,Length: 13 hrs and 15 mins
The Lion: Son of the Forest,Mike Brooks,Length: 12 hrs and 15 mins
Azarinth Healer: Book Two,Rhaegar,Length: 19 hrs and 22 mins
Waybound,Will Wight,Length: 16 hrs and 13 mins
The Greatness Mindset,Lewis Howes,Length: 9 hrs and 7 mins
Resources Book,Stephen Todd Steinman,Length: 5 hrs and 14 mins
An Analysis for Improvement Hospital Management Project Quickly Complete (,Luis Eduardo Salazar,Length: 1 hr and 31 mins
Only the Dead,Jack Carr,Length: 15 hrs and 30 mins
The Worst Wedding Date,Pippa Grant,Length: 12 hrs and 40 mins
Happy Place,Emily Henry,Length: 11 hrs and 3 mins
The Summer We Fell,Elizabeth O'Roark,Length: 9 hrs and 11 mins
Why Women Deserve Less,Myron Gaines,Length: 2 hrs and 3 mins
Tremendous,"Joey ""Coco"" Diaz",Length: 8 hrs and 45 mins
Highest Bidder,Sara Cate,Length: 10 hrs and 2 mins
The Road to Vanador: A Spellmonger Anthology,Terry Mancour,Length: 14 hrs and 43 mins
Champagne Venom,Nicole Fox,Length: 13 hrs and 59 mins
The Delphi Murders,"Nic Edwards,Brian Whitney",Length: 6 hrs and 48 mins
From the World of Percy Jackson: Sun and the Star,"Rick Riordan,Mark Oshiro",Length: 13 hrs and 30 mins
Defiance of the Fall 9,"TheFirstDefier,JF Brink",Length: 22 hrs and 34 mins
