title,author,length
The Greatness Mindset,By: Lewis Howes,Length: 9 hrs and 7 mins
Get Trump,By: Alan Dershowitz,Length: 4 hrs and 54 mins
He Who Fights with Monsters 10,"By: Shirtaloon, Travis Deverell",Length: 20 hrs
The Agatha Christie Collection,By: Agatha Christie,Length: 35 hrs and 57 mins
Champagne Venom,By: Nicole Fox,Length: 13 hrs and 59 mins
Why Women Deserve Less,By: Myron Gaines,Length: 2 hrs and 3 mins
Defiance of the Fall 9,"By: TheFirstDefier, JF Brink",Length: 22 hrs and 34 mins
Duskbringer,By: Actus,Length: 13 hrs and 32 mins
Coach,By: Devney Perry,Length: 7 hrs and 57 mins
The Summer We Fell,By: Elizabeth O'Roark,Length: 9 hrs and 11 mins
Heart of My Monster,By: Rina Kent,Length: 8 hrs and 40 mins
Highest Bidder,By: Sara Cate,Length: 10 hrs and 2 mins
Does It Hurt?,By: H. D. Carlton,Length: 12 hrs and 7 mins
The Rules of Dating My Best Friend's Sister,"By: Vi Keeland, Penelope Ward",Length: 10 hrs and 51 mins
Waybound,By: Will Wight,Length: 16 hrs and 13 mins
The 16 Undeniable Laws of Communication,By: John Maxwell,Length: 8 hrs and 57 mins
The Captain,By: Will Wight,Length: 11 hrs and 24 mins
Simply Lies,By: David Baldacci,Length: 11 hrs and 45 mins
The Tryst,By: Lauren Blakely,Length: 9 hrs and 46 mins
Professor Platonic,By: Lucy Lennox,Length: 1 hr and 5 mins
