,title,author,length
0,1. Plays Well with Others,By: Eric Barker,Length: 6 hrs and 55 mins
1,2. Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
2,3. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
3,4. Lessons in Chemistry,By: Bonnie Garmus,Length: 11 hrs and 55 mins
4,5. Spare,By: Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
5,6. I Will Find You,By: Harlan Coben,Length: 10 hrs and 16 mins
6,7. Greenlights,By: Matthew McConaughey,Length: 6 hrs and 42 mins
7,8. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
8,9. Hello Beautiful,By: Ann Napolitano,Length: 15 hrs and 6 mins
9,10. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
10,11. Daisy Jones & The Six,By: Taylor Jenkins Reid,Length: 9 hrs and 3 mins
11,12. I'm Glad My Mom Died,By: Jennette McCurdy,Length: 6 hrs and 26 mins
12,13. Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
13,14. Demon Copperhead,By: Barbara Kingsolver,Length: 21 hrs and 3 mins
14,15. It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
15,"16. Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
16,17. The Seven Husbands of Evelyn Hugo,By: Taylor Jenkins Reid,Length: 12 hrs and 10 mins
17,18. Never Finished,By: David Goggins,Length: 11 hrs and 6 mins
18,19. Verity,By: Colleen Hoover,Length: 8 hrs and 10 mins
19,20. A Court of Thorns and Roses,By: Sarah J. Maas,Length: 16 hrs and 7 mins
20,1. Plays Well with Others,By: Eric Barker,Length: 6 hrs and 55 mins
21,2. Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
22,3. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
23,4. Lessons in Chemistry,By: Bonnie Garmus,Length: 11 hrs and 55 mins
24,5. Spare,By: Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
25,6. I Will Find You,By: Harlan Coben,Length: 10 hrs and 16 mins
26,7. Greenlights,By: Matthew McConaughey,Length: 6 hrs and 42 mins
27,8. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
28,9. Hello Beautiful,By: Ann Napolitano,Length: 15 hrs and 6 mins
29,10. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
30,11. Daisy Jones & The Six,By: Taylor Jenkins Reid,Length: 9 hrs and 3 mins
31,12. I'm Glad My Mom Died,By: Jennette McCurdy,Length: 6 hrs and 26 mins
32,13. Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
33,14. Demon Copperhead,By: Barbara Kingsolver,Length: 21 hrs and 3 mins
34,15. It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
35,"16. Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
36,17. The Seven Husbands of Evelyn Hugo,By: Taylor Jenkins Reid,Length: 12 hrs and 10 mins
37,18. Never Finished,By: David Goggins,Length: 11 hrs and 6 mins
