user,text
@PalantirTech,"Introducing the Artificial Intelligence Platform (AIP). ""AIP will allow customers to leverage the power of our existing machine learning technologies alongside... large language models, directly in our existing platforms."" Read more from Alex Karp: https://palantir.com/newsroom/letters/our-new-platform/…"
@KeithOlbermann,AI cuts hair
@cisonaut,Get back in your balloon house Mr “Up” … or it’s back to dog account timeout for you
@GTOMusic3000,Can AI get that man a comb?
@IAMLIFEPOLYMATH,Is that Neymar?
@collins_daman,The hairdo tells me all I need to know..thanks
@Nerdynaturegir2,Get that dude a haircut
@ErikB216,Be Scared! Be Very Scared!
@kev_john,Really!
@angman85,Can AI boost your stock price??
@1BranMan8,That’s Taika Waititi
@JackLunaWrites,Pump and dump confirmed
@TKLauv,Billionaires don’t care how they look.
@Nova_Kane_,Taika’s range is insane
@bluefish9999,Wait until you see what it will cost you to get your data back…
@DonnaspahrDonna,Haines has consulted for Palantir Technologies -data-mining firm accused of assisting Trump administration w/ immigrant detention programs- https://en.wikipedia.org/wiki/Avril_Haines…
@DonnaspahrDonna,"Birx, who had criticized hospitals and the CDC for being slow to gather data, helped select the data firm Palantir to help run HHS’ new system. https://en.wikipedia.org/wiki/Deborah_Birx…"
@WilliamsNeale,Evil has landed
@Solo_ist,The CIA
@jasmithactor,Yea we’re fucked
