title,author,length
From the Grave,Kresley Cole,Length: 11 hrs and 54 mins
Light Bringer,Pierce Brown,Length: 13 hrs and 15 mins
The Lion: Son of the Forest,Mike Brooks,Length: 12 hrs and 15 mins
Azarinth Healer: Book Two,Rhaegar,Length: 19 hrs and 22 mins
Waybound,Will Wight,Length: 16 hrs and 13 mins
The Greatness Mindset,Lewis Howes,Length: 9 hrs and 7 mins
Resources Book,Stephen Todd Steinman,Length: 5 hrs and 14 mins
An Analysis for Improvement Hospital Management Project Quickly Complete (,Luis Eduardo Salazar,Length: 1 hr and 31 mins
Only the Dead,Jack Carr,Length: 15 hrs and 30 mins
The Worst Wedding Date,Pippa Grant,Length: 12 hrs and 40 mins
Happy Place,Emily Henry,Length: 11 hrs and 3 mins
The Summer We Fell,Elizabeth O'Roark,Length: 9 hrs and 11 mins
Why Women Deserve Less,Myron Gaines,Length: 2 hrs and 3 mins
Tremendous,"Joey ""Coco"" Diaz",Length: 8 hrs and 45 mins
Highest Bidder,Sara Cate,Length: 10 hrs and 2 mins
The Road to Vanador: A Spellmonger Anthology,Terry Mancour,Length: 14 hrs and 43 mins
Champagne Venom,Nicole Fox,Length: 13 hrs and 59 mins
The Delphi Murders,"Nic Edwards,Brian Whitney",Length: 6 hrs and 48 mins
From the World of Percy Jackson: Sun and the Star,"Rick Riordan,Mark Oshiro",Length: 13 hrs and 30 mins
Defiance of the Fall 9,"TheFirstDefier,JF Brink",Length: 22 hrs and 34 mins
Dr. Perfect,Louise Bay,Length: 7 hrs and 45 mins
Until I Get You,Claire Contreras,Length: 15 hrs and 12 mins
A Little Taste,Tia Louise,Length: 8 hrs and 30 mins
Who Cries for the Lost,C.S. Harris,Length: 11 hrs
The Risk,S.T. Abby,Length: 3 hrs and 28 mins
Death Dates the Oracle,Kristen Painter,Length: 8 hrs and 27 mins
Clanlands in New Zealand,"Sam Heughan,Graham McTavish",Length: 10 hrs
Night Angel Nemesis,Brent Weeks,Length: 32 hrs and 11 mins
The 16 Undeniable Laws of Communication,John Maxwell,Length: 8 hrs and 57 mins
Run for Your Midlife,Robyn Peterman,Length: 5 hrs and 52 mins
He Who Fights with Monsters 10,"Shirtaloon,Travis Deverell",Length: 20 hrs
Our King: Charles III,Robert Jobson,Length: 9 hrs and 44 mins
Coach,Devney Perry,Length: 7 hrs and 57 mins
Between Commitment and Betrayal,Shain Rose,Length: 10 hrs and 7 mins
Foolish Puckboy,"Eden Finley,Saxon James",Length: 6 hrs and 47 mins
The Exchange,John Grisham,Length: 11 hrs and 30 mins
The Temporary Wife: Luca and Valentina's Story,Catharina Maura,Length: 11 hrs and 33 mins
Monsters in Love,Resmaa Menakem MSW LICSW SEP,Length: 12 hrs and 23 mins
You Shouldn’t Have Come Here,Jeneva Rose,Length: 8 hrs and 1 min
Carnival Quest,Brandon Mull,Length: 11 hrs and 3 mins
Arcoplex,"Dennis Vanderkerken,Dakota Krout",Length: 14 hrs and 9 mins
Brute Force,Scott Meyer,Length: 9 hrs and 50 mins
The Captain,Will Wight,Length: 11 hrs and 24 mins
Dial W for Witch,Amanda M. Lee,Length: 8 hrs and 48 mins
BloodLust,Auryn Hadley,Length: 13 hrs and 19 mins
Close Her Eyes,Lisa Regan,Length: 12 hrs and 2 mins
The Thin Dead Line,Shane Gries,Length: 10 hrs and 15 mins
Disruptive Thinking,T. D. Jakes,Length: 9 hrs
Soul Boom,Rainn Wilson,Length: 9 hrs and 3 mins
The Heir Apparent's Rejected Mate,Cate C. Wells,Length: 13 hrs and 26 mins
The School Trip,Miranda Smith,Length: 9 hrs
The Lazarus Factor,Nick Crow,Length: 9 hrs and 21 mins
Shattered Dreams,"Tate James,Jaymin Eve",Length: 8 hrs and 9 mins
"One Nation Under Blackmail, Vol. 1",Whitney Alyse Webb,Length: 18 hrs and 16 mins
Murder at a London Finishing School,Jessica Ellicott,Length: 10 hrs
Monster Mayhem,Amanda M. Lee,Length: 8 hrs and 31 mins
Small Mercies,Dennis Lehane,Length: 10 hrs and 23 mins
Scout: Chosen Champions Book Four,Macy Blake,Length: 7 hrs and 27 mins
Awaken Your Multidimensional Soul,"Lee Harris,Dianna Edwards",Length: 6 hrs and 5 mins
The Body in the Shadows,Nick Louth,Length: 8 hrs and 14 mins
Feeling 'Blah'?,Tanith Carey,Length: 8 hrs and 36 mins
Bloodshed,Molly Doyle,Length: 8 hrs and 32 mins
The Matchmaker,Catherine Walsh,Length: 10 hrs and 10 mins
The Agreement,L. Steele,Length: 13 hrs and 4 mins
The Tryst,Lauren Blakely,Length: 9 hrs and 46 mins
Ensnared,Tiffany Roberts,Length: 11 hrs and 24 mins
For the Love of Whiskey,Melissa Foster,Length: 11 hrs and 58 mins
Fluke,Adriana Locke,Length: 8 hrs and 13 mins
The Serpent and the Wings of Night,Carissa Broadbent,Length: 15 hrs and 36 mins
Corrupted Union,Jill Ramsower,Length: 7 hrs and 53 mins
Jungle World,B.V. Larson,Length: 13 hrs and 25 mins
The Gambler's Chase,Cap Daniels,Length: 8 hrs and 1 min
Glory and the Master of Shadows,Grace Callaway,Length: 11 hrs and 42 mins
Their Cold Hearts,Carla Kovach,Length: 10 hrs and 23 mins
When the Body Says No,Gabor Maté M.D.,Length: 10 hrs and 28 mins
10x Is Easier than 2x,"Dan Sullivan,Dr. Benjamin Hardy",Length: 9 hrs and 58 mins
(ISC)2 CCSP Certified Cloud Security Professional Official Study Guide (3rd Edition),"Mike Chapple,David Seidl",Length: 19 hrs and 40 mins
The Buddha and the Bee,Cory Mortensen,Length: 8 hrs and 40 mins
A Waiter in Paris,Edward Chisholm,Length: 12 hrs and 48 mins
Improvement Tips for Life,Reeve Alexandre Arce,Length: 2 hrs and 59 mins
"Jab, Jab, Jab, Right Hook",Gary Vaynerchuk,Length: 5 hrs and 41 mins
The Unbound Witch,Miranda Lyn,Length: 15 hrs and 57 mins
The Josephine Tey Collection: 6 Alan Grant Novels; Brat Farrar; & Miss Pym Disposes,Josephine Tey,Length: 61 hrs and 21 mins
Mint Condition,Annabel Chase,Length: 6 hrs and 50 mins
Wrong for You,Harloe Rae,Length: 8 hrs and 34 mins
Dead to Me,J M Dalgliesh,Length: 8 hrs and 16 mins
Iron and Blood,Peter H. Wilson,Length: 34 hrs and 54 mins
The Unassuming Curator,Sian Ann Bessey,Length: 8 hrs and 24 mins
Asher,Louisa Masters,Length: 7 hrs and 38 mins
Healing of the Wolf,Cherise Sinclair,Length: 13 hrs and 32 mins
A High Whisk Situation,H.Y. Hanna,Length: 8 hrs and 19 mins
Gradual,"Greg Berman,Aubrey Fox",Length: 7 hrs and 31 mins
Survival Theory II,Jonathan Hollerman,Length: 9 hrs and 29 mins
Reincarnation,"A.P. Gore,Patricia Jones",Length: 10 hrs and 3 mins
Lucky Hit,Hannah Cowan,Length: 8 hrs and 53 mins
Beautiful Carnage,Heather Ashley,Length: 8 hrs and 43 mins
Ambrosia,C.N. Crawford,Length: 8 hrs and 50 mins
Hate Box,Franklin Horton,Length: 8 hrs and 8 mins
I Am the Light of This World,Michael Parker,Length: 8 hrs and 23 mins
The Comfort Zone,Kristen Butler,Length: 10 hrs and 1 min
The 9L's,Corley Moore,Length: 12 hrs and 22 mins
Cadaver 1,Nick Clausen,Length: 6 hrs and 46 mins
Broker of Lies,Steven James,Length: 12 hrs and 49 mins
Cien cuyes [One Hundred Guinea Pigs],Gustavo Rodríguez,Length: 8 hrs and 8 mins
Ruthless Equity,Ken Williams,Length: 6 hrs and 6 mins
Look What You've Done,"Tasha Layton,Bob Goff - foreword",Length: 4 hrs
